French,English
/5,/5
0%,0%
FK,FK
ID,ID
IP,IP
L',L'
Lu,Lu
ML,ML
Mo,Mo
PD,PD
SL,SL
Si,Si
rt,rt
" ?""","?"""
-/-,-/-
...,...
1-4,1-4
2GB,2GB
40%,40%
4GB,4GB
86%,86%
8GB,8GB
94%,94%
95%,95%
98%,98%
CPU,CPU
CSV,CSV
Fin,Fin
ISO,ISO
KPI,KPI
KRI,KRI
Loi,Loi
N/A,N/A
Nom,Nom
Non,Non
Oui,Oui
PDF,PDF
Par,Par
RAM,RAM
Tri,Tri
URL,URL
Âge,Âge
€49,€49
€99,€99
+500,+500
/100,/100
1 an,1 an
100%,100%
16GB,16GB
2.5s,2.5s
20GB,20GB
24/7,24/7
5-10,5-10
500+,500+
50GB,50GB
Aide,Aide
Blog,Blog
CODE,CODE
CSV:,CSV:
Clos,Clos
Code,Code
Date,Date
ID :,ID :
JSON,JSON
Menu,Menu
Mode,Mode
Nom:,Nom:
PDF:,PDF:
Plan,Plan
Prix,Prix
Rôle,Rôle
TYPE,TYPE
Tous,Tous
True,True
Type,Type
URL:,URL:
Vert,Vert
Voir,Voir
Vous,Vous
État,État
€/an,€/an
' : ',' : '
/mois,/mois
0 ? `,0 ? `
100GB,100GB
11-16,11-16
17-25,17-25
200GB,200GB
99.8%,99.8%
99.9%,99.9%
Accès,Accès
Actif,Actif
Audit,Audit
Autre,Autre
Cadre,Cadre
Cause,Cause
Close,Close
Cloud,Cloud
Coché,Coché
Code:,Code:
Créer,Créer
DATES,DATES
Date:,Date:
Dates,Dates
Debug,Debug
Durée,Durée
Début,Début
Dédié,Dédié
Email,Email
Excel,Excel
False,False
Guide,Guide
Gérer,Gérer
Image,Image
JSON:,JSON:
Jaune,Jaune
Liens,Liens
Légal,Légal
MOYEN,MOYEN
Mode:,Mode:
Motif,Motif
Moyen,Moyen
Nom *,Nom *
Norme,Norme
Ordre,Ordre
Par :,Par :
Phase,Phase
Privé,Privé
Radio,Radio
Rouge,Rouge
Rôle:,Rôle:
Rôles,Rôles
SCORE,SCORE
Santé,Santé
Score,Score
Titre,Titre
Type:,Type:
Tâche,Tâche
` : ',` : '
actif,actif
admin,admin
privé,privé
seuil,seuil
ÉLEVÉ,ÉLEVÉ
Élevé,Élevé
&nbsp;,&nbsp;
/ mois,/ mois
1 core,1 core
3 mois,3 mois
6 mois,6 mois
ALERTE,ALERTE
Abrogé,Abrogé
Accès:,Accès:
Achats,Achats
Actifs,Actifs
Action,Action
Active,Active
Activé,Activé
Actuel,Actuel
Alerte,Alerte
Ancien,Ancien
Annuel,Annuel
Annulé,Annulé
Arrêté,Arrêté
Aucune,Aucune
Audit:,Audit:
Audits,Audits
Champs,Champs
Client,Client
Closes,Closes
Copier,Copier
Date :,Date :
Durée:,Durée:
Décret,Décret
Détail,Détail
Email:,Email:
Entité,Entité
Erreur,Erreur
Excel:,Excel:
Export,Export
FAIBLE,FAIBLE
Faible,Faible
Fermer,Fermer
Images,Images
Impact,Impact
Jamais,Jamais
Liens:,Liens:
Mesure,Mesure
Moyens,Moyens
NIVEAU,NIVEAU
Niveau,Niveau
Nom DB,Nom DB
Nombre,Nombre
Non lu,Non lu
Normal,Normal
Note :,Note :
Option,Option
Orange,Orange
Plan :,Plan :
Portée,Portée
Presse,Presse
Projet,Projet
Prénom,Prénom
Prêt à,Prêt à
Public,Public
Raison,Raison
Retard,Retard
Retour,Retour
Revoir,Revoir
Risque,Risque
Rôle *,Rôle *
Rôle :,Rôle :
STATUT,STATUT
Score:,Score:
Simple,Simple
Statut,Statut
Strict,Strict
Taille,Taille
Tarifs,Tarifs
Titre:,Titre:
Toutes,Toutes
Type *,Type *
Type :,Type :
Tâches,Tâches
URGENT,URGENT
Unité:,Unité:
Urgent,Urgent
Valeur,Valeur
Validé,Validé
Veille,Veille
audits,audits
valeur,valeur
Éditer,Éditer
Élevés,Élevés
État :,État :
Évalué,Évalué
€/mois,€/mois
${html},${html}
1 mois),1 mois)
2 cores,2 cores
4 cores,4 cores
6 mois),6 mois)
